pl_name,pl_orbper,pl_rade,pl_masse,st_mass,st_rad,st_teff
Kepler-1006 b,19.76172042,2.46,,1.06,1.18,6327.0
Kepler-883 b,12.98495573,1.53,,0.84,0.94,6212.0
Kepler-596 b,21.30022655,2.92,,1.07,1.11,6343.0
Kepler-1178 b,31.80634,0.73,,0.53,0.53,4729.0
Kepler-298 d,77.4740724,2.91,,0.69,0.65,4612.0
Kepler-238 c,6.15555756,2.48,,1.06,1.26,5732.0
Kepler-1293 b,5.57654784,0.9,,1.18,1.16,6528.0
WASP-47 b,4.16071,12.9,383.0,1.11,1.16,5576.0
HD 75784 b,341.2,,,1.26,3.4,4867.0
K2-8 b,10.3516,2.86,,,0.71,
K2-295 b,4.024867,10.054,106.47305,0.74,0.7,4444.0
HATS-9 b,1.915311,13.141,259.34928,0.96,1.58,5494.0
K2-337 b,16.2713,2.77,,,1.27,
EPIC 201238110 b,28.1696,2.2,,,0.37,
K2-201 b,1.059806,1.47,,,0.92,
EPIC 212587672 c,23.24110566,,,1.13,0.95,6055.0
HD 3167 d,8.509,,,0.86,0.86,5261.0
K2-59 b,20.6915,2.1,,,0.64,
V1298 Tau d,12.4032,6.41,,1.1,1.34,
K2-223 b,0.50565,0.89,,1.06,0.99,5835.0
K2-107 b,3.3139151,,,1.3,1.78,6030.0
K2-72 e,24.158868,1.29,,0.27,0.33,3360.47
K2-354 b,3.794,,,0.42,0.42,3510.0
K2-19 d,2.508283,1.159,,0.9,0.83,5391.0
HAT-P-54 b,3.80001,40.0,,,0.68,4441.0
K2-3 b,10.054626,2.25,6.47,0.62,0.6,3835.0
K2-330 b,13.773826,3.295,,,1.68,6114.0
V1298 Tau b,24.13861,10.22,,1.1,1.31,4970.0
K2-401 b,6.293099,2.262,,0.87,0.68,4213.0
K2-275 b,3.2809626,2.34,,0.77,0.69,4841.0
K2-34 b,2.995633,13.96,,1.15,1.44,6071.0
K2-73 b,7.495692,2.625,,1.04,1.05,5844.0
K2-156 b,0.813143,1.1,,,0.62,4460.0
K2-187 d,7.149584,2.4,,,0.83,5438.0
K2-389 b,8.583566,2.118,,0.8,1.08,5782.0
K2-239 b,5.24,1.1,,0.4,0.36,3420.0
K2-115 b,20.273034,12.498,266.9772,0.83,0.88,5560.0
K2-138 c,3.55987,2.52,,0.93,0.86,5378.0
K2-34 b,2.995629,15.435,539.67534,1.23,1.58,6149.0
K2-197 b,8.35470947,,,1.0,0.92,5627.0
K2-105 b,8.26698,3.55,,,0.95,
EPIC 212297394 c,5.213,,,0.83,0.78,5008.0
K2-133 b,3.07133,1.34,,0.46,0.46,3655.0
K2-104 b,1.9741954,1.79,,0.51,0.48,3712.0
K2-330 b,13.7748361,2.677,,,1.47,6266.98
K2-389 c,20.851337,2.04,,0.8,1.08,5782.0
K2-334 b,5.1138588,5.837,,,1.51,6315.7
K2-229 b,0.58424,1.255,,0.86,0.8,5231.0
K2-34 b,2.99561,11.994,352.7913,0.64,1.22,6132.0
K2-80 c,5.605,1.47,,0.9,0.87,5441.0
K2-25 b,3.4845627,,,0.29,0.29,3180.0
K2-219 c,6.6674,1.66,,,1.32,
K2-121 b,5.185754,9.12,,0.71,0.77,4471.38
EPIC 212624936 c,11.81387,2.67,,,0.95,
K2-282 b,4.169783,2.5,,,1.0,5499.0
K2-4 b,10.00617969,,,0.64,0.68,4120.0
K2-123 b,30.952606,3.0,,,0.64,
K2-382 b,21.7,2.38,,,0.81,
WASP-47 d,9.095,3.71,16.8,1.11,1.16,5576.0
K2-167 b,9.975403,2.13,,,1.18,6063.0
K2-80 b,19.0918,2.01,,0.9,0.87,5441.0
K2-199 c,7.374694,2.78,,0.73,0.68,4648.0
K2-44 b,5.656256,2.08,,,1.03,5840.0
V1298 Tau b,24.141341,,,1.14,1.41,
K2-247 c,6.49424,2.19,,0.74,0.69,4667.0
K2-260 b,2.6266974,,,1.39,1.69,6367.0
K2-117 c,5.44482,2.03,,0.58,0.49,3842.12
K2-181 b,6.89424037,,,0.98,1.06,5573.0
HD 137496 b,1.62116,1.31,4.04,1.04,1.59,5799.0
K2-344 b,3.35585,1.59,,0.51,0.49,4374.0
K2-371 b,3.11491262,,,0.82,0.75,4952.0
EPIC 220492298 b,0.762406,0.99,,,0.89,5620.0
HAT-P-56 b,2.79083,16.926,734.1873,1.42,1.47,6566.0
HD 72490 b,858.0,,,1.21,4.96,4934.0
HD 75784 c,5040.0,,,1.33,3.17,4917.0
HD 89345 b,11.81417262,6.972,,,1.79,5609.0
K2-152 b,32.6527,2.81,,0.65,0.63,3940.0
K2-158 c,5.90279,1.28,,0.92,0.95,5503.0
K2-158 b,10.062106,2.635,,0.93,0.89,5489.0
K2-43 b,3.471149,4.51,,0.57,0.54,3840.6
K2-5 b,5.73491,1.92,,0.53,0.52,4102.0
K2-3 c,24.6491,1.644,2.1,0.61,0.55,
K2-163 b,6.673117,2.466,,0.83,0.76,4937.0
K2-19 b,7.919454,7.23,,0.89,0.88,5230.0
K2-19 b,7.921101,7.46,44.0,0.95,0.91,5390.0
K2-27 b,6.77145,4.45,29.1,0.89,0.85,5320.0
K2-10 b,19.30481,2.98,,,0.72,
K2-13 b,40.0603,2.7,,0.94,1.09,5727.0
K2-36 c,5.34107237,,,0.77,0.75,4772.39
EPIC 201841433 b,4.16888,1.41,,,0.63,
K2-18 b,32.92801934,,,0.44,0.44,3464.0
K2-26 b,14.5662,2.58,,0.53,0.51,3769.0
GJ 1002 c,21.202,,,0.12,0.14,3024.0
WASP-47 c,588.8,,,1.04,1.14,5552.0
TRAPPIST-1 d,4.04978035,,,0.09,0.12,2520.0
ROXs 12 b,,,,0.48,1.07,3547.0
K2-269 b,4.144,,,1.18,1.5,6177.44
Kepler-136 b,11.5789114,1.97,,1.17,1.19,6156.0
K2-270 c,4.400037,3.3,,,0.82,
Kepler-177 c,49.41117582,7.48,,1.07,1.07,6220.0
K2-184 b,16.99291698,,,0.89,0.77,5237.31
K2-114 b,11.3909311,10.447,638.8351,0.86,0.82,4920.0
K2-114 b,11.390955,10.71,,,0.85,
K2-121 b,5.185768,7.504,,,0.65,4664.8
EPIC 211822797 b,21.1686,2.18,,,0.64,
K2-339 b,19.508,2.11,,,0.58,
K2-101 b,14.677214,2.194,,0.83,0.77,4942.0
K2-101 b,14.675828,1.85,,,0.72,
K2-95 b,10.1338,,,0.41,0.41,3411.0
EPIC 211945201 b,19.492132,6.0,,,1.48,
EPIC 211945201 b,19.49221,5.76,,1.17,1.39,6069.0
K2-102 b,9.9147,,,0.74,0.77,4638.0
K2-100 b,1.673737,1.52,,,1.27,
K2-100 b,1.673847,3.6,,,1.23,
Kepler-417 b,12.33090437,2.49,,0.9,0.81,5376.0
Kepler-200 b,8.59479202,2.92,,1.04,1.28,6053.0
Kepler-132 b,6.17828255,1.04,,0.92,1.04,5921.0
Kepler-985 b,116.331901,3.53,,0.98,1.0,5733.0
Kepler-335 b,,3.089,,,1.82,6000.0
Kepler-659 b,17.6717714,2.44,,0.77,0.69,4869.0
Kepler-292 b,2.580827,1.32,,,0.83,5299.0
Kepler-1482 b,12.25383217,0.83,,0.71,0.69,5356.0
Kepler-814 b,6.1469851,1.78,,1.08,1.03,6341.0
Kepler-1236 b,31.0571618,1.92,,0.81,0.75,5422.0
Kepler-769 c,15.9870174,1.48,,1.07,1.01,6225.0
Kepler-269 c,8.12810877,1.62,,1.02,0.92,5831.0
Kepler-417 b,12.33090437,2.49,,0.9,0.81,5376.0
Kepler-263 b,16.56806842,2.54,,0.75,0.72,4987.0
Kepler-847 b,2.3432319,1.18,,0.83,0.77,4940.0
Kepler-278 b,30.160546,4.07,,,2.94,4991.0
Kepler-228 c,4.13443512,2.77,,1.05,0.97,6046.0
Kepler-1185 b,104.3518976,1.44,,1.06,0.94,5754.0
Kepler-1448 b,12.27065865,1.73,,1.05,0.97,6075.0
Kepler-1542 d,5.99273738,1.03,,0.87,1.19,5731.0
Kepler-313 b,14.9702081,1.91,,0.96,1.07,5900.0
Kepler-150 c,,3.291,,,0.88,5588.0
Kepler-570 b,4.301662,2.36,,0.88,0.86,5480.0
Kepler-665 b,16.01310205,2.6,,0.79,0.74,4913.0
Kepler-533 b,28.51120525,3.38,,0.78,0.72,4758.0
Kepler-349 b,5.92972237,1.92,,1.03,0.96,5741.0
Kepler-79 e,81.0637895,3.01,,1.1,1.32,6198.0
Kepler-154 f,9.91935684,1.26,,0.92,0.83,5937.0
Kepler-242 c,14.49643531,2.82,,0.79,0.83,5015.0
Kepler-147 c,,3.262,,,1.55,5943.0
Kepler-187 c,10.64022272,2.58,,0.9,1.1,5945.0
Kepler-1290 b,4.69500134,1.52,,1.04,0.96,5999.0
HD 52265 b,119.29,,,1.2,,6076.0
HD 177830 c,110.9,,,1.47,2.62,4949.0
HD 108874 c,1605.8,,,0.99,,
Kepler-163 c,21.3473612,2.23,,1.0,0.9,5772.0
Kepler-321 c,13.0939051,2.24,,1.06,1.07,5881.0
Kepler-332 d,34.2113054,1.41,,0.8,0.86,5141.0
Kepler-1168 b,55.8226539,2.21,,0.81,0.74,5167.0
Kepler-292 d,7.0556584,2.13,,0.82,0.81,5296.0
Kepler-1241 b,18.5525701,2.73,,0.92,0.84,5561.0
Kepler-1087 b,0.69384285,0.82,,1.0,1.16,5582.0
Kepler-1619 b,23.6225913,0.76,,0.97,1.0,6137.0
Kepler-356 b,4.61268045,1.3,,1.07,1.11,6129.0
Kepler-1103 b,,4.169,,,1.68,6085.0
Kepler-1525 b,2.41660149,0.92,,1.07,1.03,5705.0
Kepler-698 b,16.32976218,3.97,,0.99,0.98,5870.0
Kepler-482 b,56.35418576,2.36,,0.75,0.72,4871.0
Kepler-1112 b,14.36267939,3.02,,1.34,1.54,6496.0
Kepler-908 b,1.34059747,1.07,,1.13,1.02,5977.0
Kepler-498 b,9.61375356,3.46,,1.04,1.11,5997.0
Kepler-773 b,3.74910006,1.43,,1.04,1.01,5850.0
Kepler-1257 b,,1.421,,,0.87,5822.0
Kepler-1304 b,16.1288853,2.29,,0.85,0.81,5259.0
Kepler-776 b,,1.371,,,0.79,5083.0
Kepler-121 c,41.008011,2.27,,,0.7,5311.0
Kepler-1433 b,4.13592927,1.43,,1.07,1.15,5886.0
Kepler-301 d,13.75129636,1.66,,0.94,0.88,5814.0
Kepler-758 e,8.1934719,1.47,,1.26,1.35,6692.0
HD 4208 b,832.97,,,0.88,0.85,5717.0
HD 141399 d,1070.35,,,1.14,1.46,5360.0
Kepler-1567 b,153.979578,2.67,,0.94,0.9,5858.0
Kepler-597 b,13.02363236,2.3,,0.93,0.94,5627.0
Kepler-292 d,7.0556671,2.57,,0.92,0.92,5513.0
Kepler-1115 b,23.5540725,2.17,,2.33,2.29,9565.0
Kepler-271 b,10.43547805,1.32,,0.82,0.9,5516.0
Kepler-1051 b,25.96200249,2.45,,1.14,1.26,6784.0
Kepler-703 b,4.58352176,8.2,,1.18,1.27,6185.0
Kepler-1611 b,5.1762429,0.66,,0.79,0.72,5511.0
HD 3167 c,29.839835,3.0,,,0.88,
K2-312 c,921.2,,,1.18,1.22,5959.0
Kepler-1283 b,12.9460978,1.91,,1.16,1.25,6175.0
Kepler-1224 b,13.32351601,1.11,,1.01,1.05,6282.0
Kepler-346 b,,2.743,,,0.89,5511.0
HD 106315 c,21.05788,4.31,,1.08,1.29,6277.0
HD 106315 b,9.5521,2.23,,1.07,1.18,6290.0
HD 106315 c,21.056614,,,1.07,1.18,6290.0
K2-79 b,10.9947,4.09,9.2,1.07,1.26,5897.0
K2-5 b,5.73649,4.2,,,0.53,
K2-170 b,7.5734,1.62,,,1.08,
K2-35 b,2.39901,1.27,,,0.6,
TRAPPIST-1 h,18.772866,0.755,0.326,0.09,0.12,2566.0
K2-268 d,4.52905,1.85,,,0.77,
K2-74 b,19.565557,2.959,,0.99,1.09,5929.0
K2-192 b,4.162817,1.52,,0.9,0.81,5222.0
K2-220 b,13.68275,2.62,,,1.06,
K2-293 b,13.1225,2.45,,0.96,0.95,5532.0
K2-72 b,5.5773147,1.54,,,0.43,3563.0
HD 103720 b,4.5557,,,0.79,0.73,5017.0
K2-129 b,8.239493,1.04,,0.36,0.36,3459.09
K2-97 b,8.4071591,10.125,,,4.71,4642.6
Kepler-1013 b,18.93054959,2.15,,0.81,0.76,4954.0
Kepler-1050 c,21.1284569,1.4,,1.04,1.05,6086.0
Kepler-363 b,3.61461353,1.74,,1.28,2.13,5759.0
Kepler-1506 b,14.0329154,1.46,,1.08,1.0,6063.0
Kepler-348 c,17.2654644,1.07,,1.2,1.19,6395.0
Kepler-1547 b,0.69297968,0.82,,0.98,1.02,6103.0
Kepler-1595 b,4.56380468,1.28,,0.85,0.86,5408.0
Kepler-920 b,6.53194024,3.09,,0.86,0.98,5301.0
Kepler-254 b,5.82665919,3.73,,0.93,0.9,5611.0
Kepler-218 c,,3.074,,,1.05,5594.0
Kepler-171 b,4.166937,2.27,,0.93,0.83,5632.0
Kepler-748 b,,3.112,,,1.49,5923.0
Kepler-578 b,1.6168837,2.0,,0.87,0.83,5334.0
Kepler-684 b,6.77030201,2.66,,0.77,0.68,5666.0
Kepler-1072 b,1.5690666,1.68,,1.05,1.4,5821.0
Kepler-754 b,14.5596237,1.76,,0.98,0.97,5959.0
Kepler-1280 b,66.5579057,1.87,,1.2,1.32,6227.0
Kepler-380 c,7.63006848,1.25,,0.99,1.1,6043.0
Kepler-255 b,,1.622,,,0.93,5332.0
Kepler-370 b,4.579497,1.27,,0.99,0.88,5836.0
Kepler-1198 b,,1.439,,,0.89,5346.0
Kepler-241 b,12.71809866,2.31,,0.67,0.69,4702.0
Kepler-261 b,10.38122447,2.18,,0.82,0.78,5095.0
Kepler-653 b,14.70748976,1.95,,1.02,1.19,5665.0
Kepler-651 b,21.38521506,2.29,,0.89,0.84,5655.0
Kepler-271 d,5.24972541,0.71,,0.82,0.9,5516.0
Kepler-401 d,184.256405,2.36,,1.05,1.37,6347.0
Kepler-1087 b,0.69384266,0.83,,0.9,1.2,5457.0
Kepler-415 b,4.17634276,1.23,,0.59,0.55,4362.0
Kepler-337 b,3.29276965,1.3,,0.97,1.42,5684.0
KOI-1783.02,284.060953,4.4,,1.03,0.96,6215.0
Kepler-192 c,21.22347296,2.27,,0.89,0.81,5543.0
Kepler-300 c,40.7151103,2.65,,1.07,1.1,5965.0
Kepler-1306 b,16.29595382,1.76,,0.97,0.87,5796.0
Kepler-602 b,,2.736,,,1.39,5770.0
Kepler-160 b,4.30920108,1.78,,0.89,0.87,5857.0
Kepler-1476 b,,1.284,,,0.78,5891.0
Kepler-299 c,6.88595559,1.98,,1.01,0.92,5896.0
Kepler-393 b,9.18247194,1.51,,1.31,1.6,6735.0
Kepler-441 b,207.2482,1.64,,0.57,0.55,4340.0
Kepler-292 d,7.0556671,2.3,,0.85,0.81,5282.0
Kepler-224 c,,3.269,,,0.7,5046.0
Kepler-42 b,,0.912,,,0.17,3204.0
Kepler-900 b,6.9913086,2.19,,0.85,0.77,4848.0
Kepler-780 b,0.67737469,0.9,,0.97,1.04,5718.0
Kepler-1212 b,12.94130146,1.77,,1.01,0.94,6119.0
Kepler-372 b,6.84978728,1.83,,1.15,1.21,6056.0
Kepler-404 c,14.7512034,1.63,,0.95,0.86,5653.0
Kepler-1348 b,27.5722742,1.48,,0.89,0.8,5977.0
TCP J05074264+2447555 b,,,20.0,0.59,,
Kepler-82 d,2.382961,1.77,,,0.94,5428.0
Kepler-82 b,26.4444059,,,0.91,0.96,5309.19
Kepler-168 b,4.42535097,1.63,,1.11,1.22,5946.0
Kepler-604 b,25.85501786,2.42,,1.04,0.96,6122.0
Kepler-399 c,26.6757054,2.15,,0.94,0.94,5682.0
Kepler-137 b,,1.614,,,0.86,5237.0
Kepler-1260 b,19.1187753,1.77,,1.06,1.08,5961.0
Kepler-82 e,5.90224692,2.55,,0.97,0.93,5739.0
Kepler-82 b,26.44435456,4.66,,0.96,0.93,5529.0
Kepler-82 c,51.53005,5.3,,0.92,0.9,5700.0
Kepler-1568 b,20.925392,1.3,,1.09,1.19,5956.0
Kepler-1619 b,23.6223571,1.07,,1.0,1.39,6144.0
Kepler-863 b,15.59461874,2.9,,0.96,0.95,5678.0
Kepler-1367 b,1.57409032,0.93,,0.73,0.65,4313.0
Kepler-231 c,19.2715468,1.73,,0.51,0.48,3767.0
Kepler-398 d,6.83437001,0.88,,0.72,0.67,4557.0
Kepler-864 b,5.83383412,,,1.0,1.34,5621.0
Kepler-1504 b,82.304003,2.27,,0.89,0.85,5751.0
Kepler-700 b,80.8720639,4.73,,0.78,0.76,5665.0
Kepler-864 b,5.83376092,2.81,,1.26,1.19,6198.0
Kepler-232 b,4.43123849,3.25,,1.01,1.01,5714.0
Kepler-1344 b,4.76831033,1.78,,1.07,1.12,6237.0
Kepler-1170 b,9.98970266,2.48,,0.91,0.81,5265.0
Kepler-924 b,61.0370117,2.5,,1.07,1.01,6372.0
Kepler-245 e,3.21982106,1.92,,0.8,0.87,5257.0
Kepler-1155 b,33.469743,2.15,,0.96,1.09,5912.0
Kepler-415 c,8.70798309,2.01,,0.59,0.55,4362.0
Kepler-974 b,4.19449687,1.57,,0.56,0.52,3706.0
Kepler-482 b,56.35418576,2.2,,0.65,0.67,4616.0
Kepler-251 e,99.6415962,2.64,,0.84,0.87,5527.0
Kepler-171 d,39.6034,2.22,,0.91,0.94,5456.0
Kepler-692 b,,2.866,,,0.85,5605.0
Kepler-245 b,7.49017229,2.71,,0.86,0.8,5174.0
Kepler-758 c,,1.836,,,1.57,6360.0
Kepler-1606 b,196.4356,2.23,,0.92,0.92,5461.0
Kepler-755 c,2.85313364,1.29,,0.73,0.77,5095.0
Kepler-1170 b,,2.712,,,0.89,5262.0
Kepler-395 b,7.054,0.84,,0.41,0.4,3735.0
Kepler-264 c,140.10394,4.16,,1.32,2.4,6231.0
Kepler-1528 b,1.79111021,1.39,,1.07,1.0,6040.0
Kepler-400 b,9.02439889,1.69,,1.07,1.15,6099.0
Kepler-284 b,,2.301,,,0.77,5219.0
Kepler-382 b,5.26211833,1.95,,0.96,1.31,5587.0
Kepler-150 e,30.8264713,2.95,,0.96,0.93,5862.0
Kepler-183 b,5.68798675,2.76,,0.94,1.2,5576.0
Kepler-328 c,71.3116583,5.18,,1.15,1.06,6167.0
Kepler-779 b,7.09712124,0.74,,0.4,0.39,3569.0
Kepler-1428 b,10.67607169,1.95,,1.15,1.62,6409.0
Kepler-238 f,50.4467417,2.67,,1.08,1.38,5739.0
Kepler-1894 b,2.76263462,1.26,,1.0,0.9,5772.0
Kepler-1894 c,5.05366499,1.23,,1.0,0.9,5772.0
Kepler-527 b,13.28535633,2.18,,1.12,1.1,6513.0
Kepler-1291 b,8.63043276,1.57,,0.85,0.77,5354.0
Kepler-1441 b,39.4419839,1.31,,1.0,1.0,5802.0
Kepler-309 c,105.35789935,1.9,,0.75,0.77,4714.0
Kepler-377 c,27.0141783,1.58,,0.93,0.91,6167.0
Kepler-1121 b,13.15141081,1.7,,1.19,1.44,6331.0
Kepler-1429 b,4.48487493,1.29,,1.05,1.07,5902.0
24 Sex c,883.0,,,1.54,4.9,5098.0
HD 10180 d,16.3579,,,1.06,,5911.0
HIP 5158 b,345.72,,,0.43,0.75,4813.0
HD 25171 b,1845.0,,,1.09,1.18,6160.0
HD 212301 b,2.245715,,,1.27,,6256.0
HD 131496 b,883.0,,,1.61,4.3,4927.0
HD 10180 c,5.75979,,,1.06,,5911.0
HD 10180 f,122.76,,,1.06,,5911.0
HD 1690 b,533.0,,,1.09,16.7,4393.0
NGC 2682 YBP 1514 b,5.118,,,0.96,,5725.0
bet Cnc b,605.2,,,1.7,47.2,4092.1
bet UMi b,522.3,,,1.4,38.3,4126.0
HD 73534 b,1750.0,,,1.16,2.58,4917.0
HD 136418 b,464.29999,,,1.48,3.78,4989.0
HD 148156 b,1027.0,,,1.22,1.21,6308.0
HD 156846 b,359.51001,,,1.38,1.9,6090.0
HD 158038 b,521.0,,,1.3,4.5,4860.0
HD 95872 b,4375.0,,,0.7,0.84,5312.0
Wolf 1061 d,217.21,,,0.29,0.31,3342.0
HD 17092 b,359.9,,,2.3,,4650.0
HD 190647 b,1038.1,,,1.1,,5628.0
HD 204941 b,1733.0,,,0.74,0.72,5056.0
HD 205739 b,279.8,,,1.22,1.33,6176.0
HD 20782 b,585.86,,,1.0,,5758.0
Pr0201 b,4.4264,,,1.24,1.15,6174.0
HD 75289 b,3.50927,,,1.29,1.23,6117.0
HD 40307 f,51.56,,,0.77,,4977.0
HD 95127 b,482.0,,,3.7,41.01,4218.0
HD 27442 b,415.2,,,1.2,,
HD 210193 b,649.918,,,1.04,,5790.0
GJ 86 b,15.76491,,,0.93,0.77,5182.0
HD 233604 b,192.0,,,1.5,10.9,4791.0
HIP 63242 b,124.6,,,1.54,,4830.0
HD 38801 b,696.29999,,,1.64,2.38,5277.0
HD 100655 b,157.57001,,,2.28,10.06,4891.0
HD 10180 h,2222.0,,,1.06,,5911.0
HD 102329 b,778.09998,,,3.21,9.82,4745.0
HD 45652 b,43.6,,,0.54,0.96,5232.0
HD 47536 b,712.13,,,2.1,23.47,4380.0
HD 65216 b,572.4,,,1.0,0.89,5623.44
HD 65216 b,613.09998,,,0.88,0.88,5645.0
HD 24064 b,535.59998,,,1.61,40.0,4052.0
HD 5583 b,139.35,,,1.01,9.09,4830.0
HIP 107773 b,144.3,,,2.42,11.6,4945.0
HD 103197 b,47.84,,,0.8,0.88,5250.0
HD 109749 b,5.24,,,1.23,1.28,5858.0
HD 125595 b,9.6737,,,0.76,,4908.0
HD 10180 g,601.2,,,1.06,,5911.0
Kepler-167 b,4.39315652,1.53,,0.8,0.74,4888.0
Kepler-167 d,21.8038763,1.29,,0.8,0.74,4888.0
HD 47536 b,434.9,,,0.98,,
Kepler-167 c,7.40610257,,,0.78,0.76,4826.67
HD 98219 b,433.8,,,1.41,4.6,4925.0
HD 148164 c,5062.0,,,1.21,1.34,6032.0
HD 102329 c,1123.0,,,1.3,,
HD 196885 A b,1346.85,,,1.33,,6340.0
HD 20868 b,380.85,,,0.78,0.79,4795.0
TYC 4282-00605-1 b,101.54,,,0.97,16.21,4300.0
NGC 2682 YBP 1194 b,6.96,,,1.01,,5780.0
HIP 5158 c,9017.76,,,0.78,0.75,4813.0
HD 145377 b,103.95,,,1.12,1.14,6046.0
BD+48 738 b,392.6,,,0.74,11.0,4414.0
24 Sex b,452.8,,,1.54,4.9,5098.0
HD 156846 b,359.51,,,1.43,,6138.0
HD 40307 c,9.6184,,,0.77,,4956.0
HD 41004 B b,1.328199,,,,,
Wolf 1061 c,17.867,,,0.25,,3393.0
HD 108863 b,443.4,,,1.85,5.6,4956.0
HD 38801 b,685.25,,,1.21,2.03,5338.0
GJ 3779 b,3.0232,,,0.27,0.28,3324.0
HD 159868 c,351.0,,,1.19,2.13,5534.0
HD 38801 b,687.14,,,1.29,2.41,5207.0
HD 152079 b,2097.0,,,1.02,,
NGC 2682 Sand 364 b,120.951,,,1.35,,4284.0
GJ 3323 c,40.54,,,0.16,0.12,3159.0
tau Cet e,162.87,,,0.78,,
HD 220074 b,672.1,,,1.2,49.7,3935.0
HD 149143 b,4.07182,,,1.2,1.44,5856.0
HIP 35173 b,41.516,,,0.79,,4881.0
HIP 14810 c,95.2847,,,0.98,1.03,5544.0
TYC 1422-614-1 b,198.4,,,1.15,6.85,4806.0
HD 200964 b,606.3,,,1.39,4.92,4982.0
Kepler-167 d,21.80379,1.238,,0.78,0.75,4884.0
HD 142415 b,386.29999,,,1.07,1.04,5940.0
Kepler-167 b,4.39315983,,,0.78,0.76,4826.67
Kepler-167 c,7.40610775,1.76,,0.77,0.81,4978.0
Kepler-167 d,21.803708,,,0.78,0.76,4826.67
HD 152581 b,689.0,,,0.93,4.8,5155.0
HD 154857 b,408.6,,,1.72,1.76,5605.0
HD 159868 b,1178.40002,,,1.42,1.97,5566.0
HD 10180 d,16.357,,,1.06,1.11,5911.0
HD 102117 b,20.8133,,,1.06,1.23,5655.0
HD 102272 b,127.58,,,1.9,10.1,4908.0
HD 113538 c,1657.0,,,0.7,0.65,4685.0
HD 43691 b,36.9987,,,1.32,1.6,6093.0
HD 47186 b,4.0845,,,0.96,1.08,5657.0
HD 63454 b,2.818049,12.31,,0.84,1.05,4840.0
HATS-12 b,3.142833,15.132,756.4354,1.49,2.21,6408.0
K2-206 b,18.294549,2.795,,0.79,0.76,5043.0
K2-214 b,8.596802,2.43,,1.05,1.27,5854.0
K2-216 b,2.1748,1.75,8.0,0.7,0.72,4503.0
K2-113 b,5.817681,12.5,,,1.33,
K2-219 c,6.66767,1.438,,1.02,1.19,5753.0
WASP-107 b,5.72148926,,,0.69,0.66,4430.0
K2-224 b,4.478591,1.664,,0.9,0.84,5614.0
K2-131 b,0.36930572,2.134,,,0.76,5129.0
K2-225 b,15.871455,2.661,,1.11,1.21,5733.0
K2-140 b,6.5693,12.274,323.86877,1.0,0.99,5654.0
K2-251 b,9.30075,2.35,,0.52,0.49,3717.0
K2-253 b,4.00167,12.67,,1.08,1.1,6027.0
HD 215152 d,10.86499,,,0.77,0.73,4935.0
HD 28678 b,387.10001,,,3.16,6.98,4722.0
HD 30856 b,912.0,,,1.35,4.2,4982.0
HD 33564 b,388.0,,,1.25,,6250.0
HD 38283 b,363.2,,,1.08,,5998.0
HD 73534 b,1721.0,,,1.16,2.58,4917.0
HD 75289 b,3.508,,,1.15,,
HD 109749 b,5.24,,,1.2,1.24,5903.0
HD 95872 b,4375.0,,,0.95,,5312.0
HD 192699 b,345.53,,,1.61,4.31,5164.0
HD 2039 b,1120.0,,,1.23,1.19,5945.0
OGLE-2018-BLG-0383L b,,,6.4,0.1,,
HD 204941 b,1733.0,,,0.58,0.78,5026.0
HD 88133 b,3.41587,,,1.23,2.01,5404.0
HD 96063 b,361.1,,,1.02,4.5,5148.0
HIP 12961 b,57.435,,,0.62,0.66,3986.0
HIP 14810 d,952.0,,,0.99,1.0,5485.0
HD 4917 b,400.5,,,1.32,5.01,4802.0
GJ 163 b,8.63182,,,,,
HD 39855 b,3.2498,,,0.87,,5576.0
K2-289 b,13.15628,3.2,,,0.38,3809.0
K2-54 b,9.7843,1.15,,0.42,0.38,3798.0
HIP 91258 b,5.0505,,,0.97,0.89,5519.0
NGC 2682 YBP 1194 b,6.958,,,1.01,0.99,5780.0
PSR B1257+12 b,25.34,,,,,
K2-24 c,42.36301,9.8,,1.2,1.51,5717.0
K2-37 d,14.0919,2.59,,0.9,0.87,5512.0
K2-38 b,4.01628,1.64,,1.08,1.12,5758.0
K2-32 b,8.99002105,,,0.9,0.85,5274.0
EPIC 206024342 d,14.641541,2.94,,,0.94,5648.0
EPIC 206024342 c,0.911724,1.4,,,1.1,5724.0
K2-59 c,11.295158,2.47,,,0.73,4775.0
K2-60 b,3.0026376,6.45,,,0.86,5425.0
K2-64 b,6.53142,2.79,,,0.87,
K2-69 b,7.06599,2.32,,0.55,0.49,4127.0
K2-72 b,5.57739,0.75,,0.22,0.23,3497.0
EPIC 206215704 b,2.255436,1.0,,,0.25,3297.0
DMPP-1 d,2.882,,,1.21,1.26,6196.0
K2-46 b,19.1541,2.05,,0.96,1.29,6256.0
K2-211 b,0.669532,1.3,,,0.79,5360.0
K2-32 c,20.6602,3.32,,0.88,0.92,5428.0
PSR J1719-1438 b,0.09070629,,382.8,1.4,,4500.0
GJ 3293 c,123.75,,,0.42,0.4,3466.0
K2-274 b,14.11544241,,,0.84,0.73,5024.37
K2-63 b,20.2653,2.89,,,1.27,
K2-73 b,7.49543,2.45,,1.05,1.06,5922.0
K2-353 b,15.466805,5.55,,0.87,0.99,5698.0
WASP-28 b,3.40883,13.597,287.95398,1.02,1.09,6150.0
