pl_name,pl_orbper,pl_rade,pl_masse,st_mass,st_rad,st_teff
HIP 5158 b,345.63,,,0.78,0.75,4813.0
alf Ari b,380.8,,,1.5,13.9,4553.0
tau Gem b,305.0,,,,28.72,4482.0
HD 62509 b,589.7,,,1.7,8.9,
Kepler-370 c,19.02293,1.91,,,0.9,5852.0
Kepler-400 b,9.024389,1.65,,,1.15,5886.0
Kepler-221 b,2.795906,1.71,,,0.82,5243.0
Kepler-367 c,53.578637,1.2,,,0.69,4710.0
Kepler-393 c,14.613612,1.33,,,1.38,6189.0
Kepler-304 c,5.315946,2.17,,,0.69,4731.0
Kepler-360 b,3.289672,1.65,,,1.06,6053.0
Kepler-101 c,6.029809,1.33,,,1.67,5570.0
Kepler-243 c,20.026218,1.99,,,0.84,5228.0
Kepler-261 c,24.570858,2.0,,,0.79,5098.0
Kepler-327 d,13.969457,1.73,,,0.49,3799.0
Kepler-136 b,11.5789,2.05,,,1.35,6165.0
Kepler-122 d,21.587475,2.2,,,1.22,6050.0
Kepler-157 c,13.5405,2.24,,,1.04,5774.0
Kepler-147 c,33.416423,2.43,,,1.47,6012.0
Kepler-239 b,11.763051,2.33,,,0.76,4914.0
Kepler-200 b,8.594805,2.13,,,0.94,5678.0
Kepler-243 b,5.715442,2.45,,,0.84,5228.0
Kepler-160 c,13.699087,3.61,,,0.88,5857.0
Kepler-254 b,5.826662,3.87,,,0.91,5957.0
Kepler-172 c,6.388996,2.86,,,1.08,5526.0
Kepler-299 c,6.885875,2.65,,,1.03,5617.0
Kepler-278 c,51.078775,3.59,,,2.94,4991.0
Kepler-339 d,10.558345,1.17,,,0.8,5631.0
Kepler-397 b,22.250949,2.46,,,0.77,5307.0
Kepler-399 b,14.425281,0.96,,,0.68,5502.0
HD 219415 b,2093.3,,,1.0,2.9,4820.0
Pr0201 b,4.4264,,,1.23,1.17,6174.0
HD 207832 b,161.97,,,0.94,0.9,5710.0
HD 207832 c,1155.7,,,0.94,0.9,5710.0
HD 145457 b,176.3,,,1.9,9.9,4757.0
HD 180314 b,396.03,,,2.6,9.2,4917.0
WASP-176 b,3.899052,16.87,271.74465,1.34,1.93,5941.0
kap CrB b,1261.94,,,1.84,,
HD 210702 b,354.29,,,1.85,,
6 Lyn b,874.774,,,1.82,5.2,
kap CrB b,1208.0,,,1.8,4.71,4970.0
HD 167042 b,412.6,,,1.64,4.3,5010.0
nu Oph b,530.32,,,3.04,15.1,4928.0
75 Cet b,691.9,,,2.49,10.5,4846.0
omi UMa b,1630.0,,,3.09,14.1,5242.0
HD 4732 b,360.2,,,1.74,5.4,4959.0
HD 99492 b,17.0431,,,0.85,0.75,5069.61
TOI-1937 A b,0.9466787,14.666,,,1.07,5707.0
HAT-P-2 b,5.63346964,,2866.81223,1.33,,
HAT-P-53 b,1.96162371,,,1.09,1.21,5956.0
TOI-1710 b,24.2833782,5.212,,,0.98,5675.0
TOI-3235 b,2.5926199,11.014,,,0.37,3375.0
HAT-P-2 b,5.6334729,12.969,2888.95,1.36,1.64,6290.0
TOI-4308 b,9.1512776,2.451,,,0.79,5015.0
NGTS-17 b,3.24253,13.899,242.8209,1.02,1.34,5650.0
TOI-1135 b,8.02773,9.02,51.42,1.12,1.16,6122.0
HAT-P-2 c,8500.0,,3400.76395,1.33,,
NGTS-25 b,2.823093,11.467,203.09235,0.91,0.86,5321.0
NGTS-27 b,3.3704181,15.648,188.47225,1.07,1.77,5700.0
TOI-2842 b,3.5514016,11.873,,,1.26,6019.0
WASP-4 b,1.3382299,15.031,397.2875,0.93,0.9,5500.0
TOI-2096 c,6.38782016,2.041,,,0.25,3285.0
WASP-4 b,1.33823187,15.838,393.139,0.97,0.89,5504.0
WASP-4 b,1.3382315,15.211,393.15571,0.91,0.91,5500.0
WASP-4 b,,,368.36497,0.92,,
WASP-4 b,1.3382315,15.368,409.68287,0.94,0.91,5500.0
WASP-4 b,1.33823,14.908,375.0394,0.87,0.9,5500.0
WASP-4 b,1.33823162,14.908,371.8611,0.89,0.92,5436.0
WASP-4 b,1.33823147,14.807,376.94638,0.86,0.89,5400.0
WASP-4 b,1.33823204,15.637,,,0.91,
WASP-4 b,1.33823144,,,,,
TOI-1693 b,1.7666957,1.41,,0.49,0.46,3499.0
HD 149026 b,2.87598,7.331,114.10097,1.29,1.37,6160.0
TOI-1736 b,7.073091,3.05,11.9,1.06,1.38,5670.0
KELT-12 b,5.031617,,,1.59,2.37,6279.0
TOI-3321 b,3.6525305,14.73,,,1.47,5930.0
NGTS-1 b,2.647298,14.908,258.07796,0.62,0.57,3916.0
HAT-P-2 b,5.6,12.3,2828.6,,,6300.0
TOI-1288 c,416.0,,,0.96,0.96,5388.0
NGTS-24 b,3.4678796,13.608,165.27077,1.26,1.64,5820.0
NGTS-9 b,4.4352884,11.211,,,1.38,6245.0
HD 213885 b,1.0082361,1.72,,,1.13,5795.29
TOI-3261 b,0.8831331,3.82,30.3,0.86,0.85,5068.0
TOI-1736 c,571.3,,,1.06,1.38,5670.0
NGTS-15 b,3.27623,12.33,238.68913,0.99,0.95,5600.0
HD 104067 b,55.828,,,0.82,0.78,4939.01
TOI-672 b,3.63357354,5.092,,,0.54,3765.0
